,SegmentDescription,Answer,Count
20,University of Delaware,Facebook,1
21,University of Delaware,Instagram,1
22,University of Delaware,Snapchat,0
23,University of Delaware,Twitter,0
24,University of Delaware,None,1
25,University of Pennsylvania,Facebook,1
26,University of Pennsylvania,Instagram,1
27,University of Pennsylvania,Snapchat,0
28,University of Pennsylvania,Twitter,0
29,University of Pennsylvania,None,2
30,Students of New York,Facebook,0
31,Students of New York,Instagram,21
32,Students of New York,Snapchat,1
33,Students of New York,Twitter,5
34,Students of New York,None,18
35,University of Central Arkansas,Facebook,0
36,University of Central Arkansas,Instagram,1
37,University of Central Arkansas,Snapchat,0
38,University of Central Arkansas,Twitter,0
39,University of Central Arkansas,None,0
40,Northeastern University,Facebook,1
41,Northeastern University,Instagram,0
42,Northeastern University,Snapchat,0
43,Northeastern University,Twitter,0
44,Northeastern University,None,1
45,West Virginia University ,Facebook,0
46,West Virginia University ,Instagram,0
47,West Virginia University ,Snapchat,0
48,West Virginia University ,Twitter,0
49,West Virginia University ,None,2
50,Northern Arizona University,Facebook,1
51,Northern Arizona University,Instagram,0
52,Northern Arizona University,Snapchat,0
53,Northern Arizona University,Twitter,0
54,Northern Arizona University,None,0
55,"University of California, Santa Barbara",Facebook,1
56,"University of California, Santa Barbara",Instagram,0
57,"University of California, Santa Barbara",Snapchat,0
58,"University of California, Santa Barbara",Twitter,0
59,"University of California, Santa Barbara",None,0
60,University of Memphis,Facebook,0
61,University of Memphis,Instagram,0
62,University of Memphis,Snapchat,0
63,University of Memphis,Twitter,0
64,University of Memphis,None,1
65,Auburn University,Facebook,0
66,Auburn University,Instagram,0
67,Auburn University,Snapchat,0
68,Auburn University,Twitter,0
69,Auburn University,None,4
70,Randolph-Macon College,Facebook,1
71,Randolph-Macon College,Instagram,2
72,Randolph-Macon College,Snapchat,0
73,Randolph-Macon College,Twitter,1
74,Randolph-Macon College,None,3
75,Wisconsin HS,Facebook,0
76,Wisconsin HS,Instagram,0
77,Wisconsin HS,Snapchat,1
78,Wisconsin HS,Twitter,0
